age,Q_trop_high,Q_trop_mid,Q_trop_low,Q_stra_high,Q_stra_mid,Q_stra_low,EDML,GRIP
6560,0.47150531,0.485085202,0.245884884,1.84616068,0.866774554,0.077917654,3.98119197,4.326264446
6580,0.45877523,0.475519247,0.243880363,1.779562911,0.843539793,0.077225007,4.08435424,3.648034958
6600,0.492561679,0.499586471,0.248162721,1.96090732,0.903561551,0.078688412,4.037636615,3.884230245
6620,0.519457076,0.518344436,0.251399309,2.108507307,0.951146456,0.079796496,4.184904781,4.232802386
6640,0.525431563,0.52240141,0.252107141,2.142816423,0.961749679,0.080041321,4.473828476,4.637370323
6660,0.513351408,0.514219645,0.250761823,2.074472873,0.940517029,0.079580161,4.678006505,4.232786471
6680,0.47117946,0.484548384,0.245528176,1.844451502,0.865636437,0.077786416,4.558256861,3.84971169
6700,0.463822113,0.479304815,0.244668687,1.805965676,0.852737677,0.077497234,4.213247011,3.776946564
6720,0.502331735,0.507006979,0.249928422,2.014286848,0.921967291,0.079309944,4.1699503,3.912744371
6740,0.501943892,0.506982624,0.250129266,2.012172689,0.921752355,0.079386053,4.542781645,3.73456599
6760,0.473616373,0.487228977,0.246813752,1.857432103,0.871706776,0.078254738,4.445237613,3.886146668
6780,0.490879688,0.499746779,0.249319575,1.951742209,0.903115851,0.079124665,4.178527874,4.094039441
6800,0.460819315,0.478407181,0.245638742,1.79027631,0.849765257,0.07786997,4.165621709,3.893405394
6820,0.455541772,0.474893587,0.245301411,1.762672665,0.840954474,0.077766151,4.018601552,4.287814158
6840,0.488379036,0.4992207,0.250271307,1.938102634,0.900996228,0.079487517,4.062242037,4.625630192
6860,0.489016882,0.500214832,0.250904595,1.941596265,0.903162927,0.079720731,4.223723176,4.518743047
6880,0.493593641,0.504069256,0.252097736,1.966609419,0.912521693,0.080148126,4.341142289,5.163207552
6900,0.485363614,0.498829455,0.251680176,1.921658539,0.898885117,0.080022105,4.52899864,4.739374848
6920,0.487608261,0.501164246,0.252717969,1.933933641,0.904315512,0.080400032,4.347751429,4.677975871
6940,0.501847155,0.512186194,0.255398372,2.011739207,0.931646481,0.081346407,4.315211765,5.094718624
6960,0.485193153,0.501020653,0.254029519,1.920765479,0.902934443,0.080896231,4.433141872,4.405745385
